Number,Prize,isSpecial,isClaimed,basePrize,accrualDays
1,5,0,0,5,0
2,5,0,0,5,0
3,5,0,0,5,0
4,5,0,0,5,0
5,5,0,0,5,0
6,5,0,0,5,0
7,5,0,0,5,0
8,5,0,0,5,0
9,5,0,0,5,0
10,5,0,0,5,0
11,5,0,0,5,0
12,5,0,0,5,0
13,5,0,0,5,0
14,5,0,0,5,0
15,5,0,0,5,0
16,5,0,0,5,0
17,5,0,0,5,0
18,5,0,0,5,0
19,5,0,0,5,0
20,5,0,0,5,0
21,10,0,0,10,0
22,10,0,0,10,0
23,10,0,0,10,0
24,10,0,0,10,0
25,10,0,0,10,0
26,10,0,0,10,0
27,10,0,0,10,0
28,10,0,0,10,0
29,10,0,0,10,0
30,10,0,0,10,0
31,10,0,0,10,0
32,10,0,0,10,0
33,10,0,0,10,0
34,10,0,0,10,0
35,10,0,0,10,0
36,10,0,0,10,0
37,10,0,0,10,0
38,10,0,0,10,0
39,10,0,0,10,0
40,10,0,0,10,0
41,15,0,0,15,0
42,15,0,0,15,0
43,15,0,0,15,0
44,15,0,0,15,0
45,15,0,0,15,0
46,15,0,0,15,0
47,15,0,0,15,0
48,15,0,0,15,0
49,15,0,0,15,0
50,15,0,0,15,0
51,20,0,0,20,0
52,20,0,0,20,0
53,20,0,0,20,0
54,20,0,0,20,0
55,20,0,0,20,0
56,20,0,0,20,0
57,20,0,0,20,0
58,20,0,0,20,0
59,20,0,0,20,0
60,20,0,0,20,0
61,25,0,0,25,0
62,25,0,0,25,0
63,25,0,0,25,0
64,25,0,0,25,0
65,25,0,0,25,0
66,25,0,0,25,0
67,25,0,0,25,0
68,25,0,0,25,0
69,25,0,0,25,0
70,25,0,0,25,0
71,250,1,0,250,0
72,250,1,0,250,0
73,250,1,0,250,0
74,250,1,0,250,0
75,250,1,0,250,0
